	coach	race	mu	phi	value
75021	noyse	Lizardmen	1353.27	186.969	885.8475
32566	Ulkkain	Orc	1213.761	131.175	885.8235
174878	DocNeil	Ogres	1277.183	156.547	885.8154999999999
39905	Vuki	Norse	1298.34	165.014	885.8049999999998
71945	Shaniepoo1	Chaos Dwarves	1241.142	142.139	885.7945
32909	fly	Orc	1373.642	195.158	885.7470000000001
106670	Fastshad	Halflings	1255.74	148.011	885.7125000000001
181537	ABigwood	Ogres	1290.715	162.003	885.7075
52783	Justin_Kase	Skaven	1385.189	199.811	885.6615
82655	Holgi482	Dark Elves	1419.796	213.654	885.6610000000001
217877	ABigwood	Underworld	1316.839	172.48	885.6389999999999
178739	dalfort	Ogres	1309.762	169.676	885.572
135766	Zuhlmatul	Goblins	1212.513	130.81	885.4879999999999
178691	StoneColdSpider	Ogres	1400.34	205.961	885.4374999999999
155748	Lowkee	Khemri	1290.444	162.025	885.3815
164526	Chris_le_clubber	Nurgle's Rotters	1463.304	231.171	885.3765000000001
29506	Rupert_of_Hentzau	Orc	1435.366	219.997	885.3734999999999
129355	GhostDad	Goblins	1351.591	186.51	885.3159999999999
56951	Narwhalfanatic	Dwarves	1326.188	176.368	885.2680000000001
69381	fredk	Chaos Dwarves	1324.051	175.515	885.2635
124820	Zorgon	Chaos	1377.068	196.77	885.143
29430	TonyCrowe105	Orc	1448.343	225.285	885.1305000000001
7889	ragados	Wood Elves	1320.423	174.117	885.1305
144336	Meurte	Necromantic	1458.673	229.421	885.1205
10444	Macross	Humans	1472.41	234.916	885.1200000000001
73338	aswaarg	Lizardmen	1428.032	217.17	885.107
101721	Psycho	Halflings	1328.343	177.308	885.0730000000001
63997	Ciccio	Chaos Dwarves	1328.468	177.366	885.0530000000001
10912	PunisherCed	Humans	1353.063	187.21	885.038
89615	NecroJ	Dark Elves	1387.373	200.937	885.0305000000001
179286	wedge22	Ogres	1279.413	157.783	884.9555
59497	TheHurricane	Dwarves	1381.463	198.612	884.933
139260	metroidhatchling	Necromantic	1369.597	193.882	884.8919999999999
42765	medaloffairness	Norse	1304.379	167.805	884.8664999999999
5273	Nicap	Wood Elves	1462.703	231.143	884.8455
33713	Zeripper	Orc	1421.71	214.752	884.83
35385	Scarlifast	Orc	1331.852	178.815	884.8145000000001
67292	ZFurelli	Chaos Dwarves	1337.309	181.02	884.759
3899	Madmardigan	Wood Elves	1368.161	193.362	884.7560000000001
161461	lumpfishy	Khemri	1280.98	158.498	884.735
48527	zagzag	Skaven	1290.183	162.18	884.733
69526	spoiledsquid	Chaos Dwarves	1235.298	140.228	884.728
2501	Tatsujin	Wood Elves	1375.439	196.286	884.724
111234	nfa	Amazons	1303.6	167.567	884.6824999999999
174332	Daenoeris	Ogres	1183.517	119.57	884.5920000000001
210148	PCha	Underworld	1314.398	171.928	884.578
182256	Blizzards	Vampires	1304.022	167.808	884.502
